title,start,end,color,type,location
HRH - Youth Beginner,2016-10-12T18:00:00,2016-10-12T19:00:00,#00f,class,Avon
HRH - Youth Advanced,2016-10-12T19:00:00,2016-10-12T20:00:00,#008,class,Avon
HRH - Adult,2016-10-12T20:00:00,2016-10-12T21:00:00,#008,class,Avon
HRH - Youth Beginner,2016-10-14T18:00:00,2016-10-14T19:00:00,#00f,class,Avon
HRH - Youth Advanced,2016-10-14T19:00:00,2016-10-14T20:00:00,#008,class,Avon
HRH - Adult,2016-10-14T20:00:00,2016-10-14T21:00:00,#008,class,Avon
